id,title,genres,description,thumbnail,poster
v-n-may,Vận May ,"Hành động, Hài","Gabriel, một thiên thần thừa lòng tốt nhưng thiếu kỹ năng, tự dưng đi can thiệp vào cuộc sống của một anh nhân viên thời vụ lương ba cọc ba đồng và một đại gia chuyên đầu tư mạo hiểm, rồi làm rối tung rối mù hết cả lên.",https://static.nutscdn.com/vimg/300-0/b4f0ad68a856b7f1e7e431d56cf9c910.webp,https://static.nutscdn.com/vimg/300-0/7bb9067254399813bbbf9a14567f23a3.jpg
th-tr-n-baramulla,Thị Trấn Baramulla,"Hành động, Sci-fi","Điều tra về vụ bắt cóc trẻ em, viên cảnh sát nọ lật mở những bí mật rùng rợn khi hàng loạt sự kiện siêu nhiên đe dọa gia đình anh và thị trấn yên bình Baramulla.",https://static.nutscdn.com/vimg/300-0/70b005f1011f692f90ed0805900ccb0b.jpg,https://static.nutscdn.com/vimg/300-0/70b005f1011f692f90ed0805900ccb0b.jpg
r-c-r-i-s-m-panh,Rắc Rối Sâm Panh,"Tình cảm, hài",Một giám đốc điều hành người Mỹ đầy nhiệt huyết đến Paris với quyết tâm mua lại một thương hiệu sâm panh trước Giáng sinh – rồi vô tình phải lòng người thừa kế đế chế sâm panh đó.,https://static.nutscdn.com/vimg/300-0/390535064ab9a37387948e796eb8482d.jpg,https://static.nutscdn.com/vimg/300-0/390535064ab9a37387948e796eb8482d.jpg
cu-c-phi-u-l-u-trong-gi-c-m-ng,Cuộc Phiêu Lưu Trong Giấc Mộng,"Gia đình, hài, viễn tưởng",Bộ đôi chị gái và em trai nọ phiêu lưu khắp vùng đất siêu quái đản trong mơ để thỉnh cầu Người Cát ban cho họ một gia đình hoàn hảo.,https://static.nutscdn.com/vimg/300-0/30c8efeb97b346cab8a8c230c8b94096.jpg,https://static.nutscdn.com/vimg/300-0/21ef81e8096918ce76d47f372d367172.jpg
k-x-u,Kẻ Xấu,"Hành động, Hài","ại thị trấn Colt Lake, bang Tennessee, Sam Evans đang nỗ lực đối phó với nạn ma túy đá hoành hành. Tuy nhiên, khi điệp viên ngầm Bobby Gaines xuất hiện, Evans bị gạt sang một bên. Dù Evans có mối quan hệ sâu sắc với dân địa phương, Gaines lại được ca ngợi như một anh hùng. Nhưng rồi, những nghi ngờ quanh con người thật của Gaines bắt đầu xuất hiện, dần hé lộ một câu chuyện phức tạp và đầy uẩn khúc phía sau.",https://static.nutscdn.com/vimg/300-0/e08064026262cfc3579f52dd5075d0ae.jpg,https://static.nutscdn.com/vimg/300-0/e08064026262cfc3579f52dd5075d0ae.jpg
hoa-h-ng-c-gai,Hoa Hồng Có Gai,"Tình Cảm, Gia Đình, Hài, Lãng Mạn","Cuộc sống của Ivy và Theo tưởng chừng hoàn hảo: sự nghiệp thành công, hôn nhân hạnh phúc, con cái ngoan ngoãn. Nhưng đằng sau lớp vỏ của một gia đình lý tưởng ấy là cơn bão ngầm đang dần hình thành — khi sự nghiệp của Theo tuột dốc trong khi tham vọng của Ivy thăng hoa, thổi bùng lên ngọn lửa ganh đua và oán giận âm ỉ có thể thiêu rụi tất cả.",https://static.nutscdn.com/vimg/300-0/37c692b0ec5829f74f87e4a0ba34e13f.jpg,https://static.nutscdn.com/vimg/300-0/37c692b0ec5829f74f87e4a0ba34e13f.jpg
frankenstein,Frankenstein,"Kinh Dị, Cổ Điển, Khoa Học, Viễn Tưởng",Đạo diễn đoạt giải Oscar Guillermo del Toro tái hiện câu chuyện kinh điển của Mary Shelley về một nhà khoa học lỗi lạc và tạo vật mà tham vọng quái dị của anh tạo ra.,https://static.nutscdn.com/vimg/300-0/d28bfd4cc191a1d2de53f0fc87ee38da.webp,https://static.nutscdn.com/vimg/300-0/d28bfd4cc191a1d2de53f0fc87ee38da.webp
phi-v-b-n,Phi Vụ Bẩn,"Chính Kịch, Hành Động, Gay Cấn, Hình Sự","Một siêu trộm mang tên Parker bước vào phi vụ táo bạo nhất đời mình – một vụ cướp có thể thay đổi tất cả. Để thành công, anh phải vượt qua những kẻ thù nguy hiểm nhất: một nhà độc tài khét tiếng Nam Mỹ, băng mafia New York tàn nhẫn, và một tỷ phú quyền lực thao túng cả thế giới.Giữa mê cung của lừa lọc, phản bội và những màn đấu trí nghẹt",https://static.nutscdn.com/vimg/300-0/891e5bab5fa7b54e207f9f7622a419ab.jpg,https://static.nutscdn.com/vimg/300-0/891e5bab5fa7b54e207f9f7622a419ab.jpg
c-m-y-nghi-n,Cỗ Máy Nghiền,"Chính Kịch, Hành Động, Chiếu Rạp, Gay Cấn, Cổ Điển, Tập Luyện, Thể Thao","Vào cuối những năm 1990, võ sĩ MMA đầy triển vọng Mark Kerr khao khát trở thành tay đấm vĩ đại nhất thế giới. Tuy nhiên, anh cũng phải chiến đấu với cơn nghiện thuốc và mối quan hệ đầy biến động với bạn gái Dawn.",https://static.nutscdn.com/vimg/300-0/b29e519c5480544c6b6f07cec11945ff.jpg,https://static.nutscdn.com/vimg/300-0/b29e519c5480544c6b6f07cec11945ff.jpg
g-qu-n-tr,Gã Quản Trò,"Gay Cấn, Kinh Dị, Tâm Lý","Bốn người bị mắc kẹt trong một chương trình trò chơi tàn bạo, nơi họ buộc phải đấu trí với một tên sát nhân hàng loạt biến thái trong cuộc đua nghẹt thở với thời gian. Mỗi bước đi có thể đưa họ đến tự do — hoặc đến một cái kết kinh hoàng.",https://static.nutscdn.com/vimg/300-0/56db57e0cdf49d1a2c76a94207707b87.jpg,https://static.nutscdn.com/vimg/300-0/56db57e0cdf49d1a2c76a94207707b87.jpg
tay-m-th-p,Tay Đấm Thép,"Chính Kịch, Hành Động, Khoa Học","Phim đặt trong tương lai không xa, loài người tạo nên những robot siêu đẳng, khi mà quyền Anh robot trở thành môn thể thao phổ biến và có thể thay thế con người trổ tài trên sàn đấm bốc. Nhưng đó cũng là nơi Charlie - một võ sĩ quyền anh nổi tiếng với những cú đấm “thần sầu” - cảm thấy không thể hòa hợp. Đúng lúc ấy, anh tình cờ tìm được 1 chú robot ở bãi phế thải và tin rằng nó sẽ giúp anh vô địch. Trong khi Charlie theo đuổi hy vọng leo lên vị trí dẫn đầu thì một điều bất ngờ khác cũng đến với anh. Đứa con trai lưu lạc bấy lâu đột nhiên xuất hiện và muốn biết nhiều hơn về bố mình…",https://images.unsplash.com/photo-1524985069026-dd778a71c7b4?auto=format&fit=crop&w=900&q=80,https://images.unsplash.com/photo-1524985069026-dd778a71c7b4?auto=format&fit=crop&w=900&q=80
b-c-ng-c-ng,Bước Đường Cùng,"Gay Cấn, Hình Sự, Hài Tâm Lý","Man Soo (Lee Byung Hun), một nhân viên văn phòng bỗng chốc bị sa thải khỏi một công ty mà anh đã gắn bó 25 năm, cuộc sống êm ấm vừa mới có được lại bị đảo ngược. Để chu toàn cho gia đình là vợ Mi Ri (Son Ye Jin) và hai con, người đàn ông này nhất quyết phải sinh tồn đến cùng, bao gồm cả việc nhận những nghề cực đoan nhất.",https://static.nutscdn.com/vimg/300-0/73c80fc59d2b6006ce877634032fe05a.jpg,https://static.nutscdn.com/vimg/300-0/73c80fc59d2b6006ce877634032fe05a.jpg
chi-n-binh-b-o-en,Chiến Binh Báo Đen,"Hành Động, Chiếu Rạp, Siêu Anh Hùng, Marve, l Khoa Học, Phiêu Lưu","Wakanda hiện ra như một vương quốc bí ẩn, ẩn mình giữa núi rừng sâu thẳm. Nơi đây sở hữu lượng Vibranium - kim loại quý hiếm và quyền lực nhất trên thế giới. Black Panther, vị vua trẻ tuổi trị vì Wakanda, khoác lên mình bộ giáp chống đạn và sở hữu móng vuốt sắc bén như dao găm. Tuy nhiên, trái tim anh lại ẩn chứa lòng nhân ái và sự trắc ẩn, điều này vô tình trở thành rào cản khi Black Panther đối mặt với những hiểm nguy và âm mưu tranh giành quyền lực sau khi vua cha băng hà.",https://static.nutscdn.com/vimg/300-0/2b6766253490d87cef639b0e030c5523.jpg,https://static.nutscdn.com/vimg/300-0/2b6766253490d87cef639b0e030c5523.jpg
